celery-worker  | DEBUG 2025-07-16 16:01:22,333 sync_plan_executor Pack bsf_pk_958513ea44f03fe5 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,333 sync_plan_executor Created new pack bsf_pk_958513ea44f03fe5: create
celery-worker  | DEBUG 2025-07-16 16:01:22,334 sync_plan_executor Pack bsf_pk_dfc892a58349ba89 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,334 sync_plan_executor Created new pack bsf_pk_dfc892a58349ba89: create
celery-worker  | DEBUG 2025-07-16 16:01:22,334 sync_plan_executor Pack bsf_pk_c7fb9fb7beaf43a2 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,335 sync_plan_executor Created new pack bsf_pk_c7fb9fb7beaf43a2: create
celery-worker  | DEBUG 2025-07-16 16:01:22,335 sync_plan_executor Pack bsf_pk_398458fe5eb08ffb has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,336 sync_plan_executor Created new pack bsf_pk_398458fe5eb08ffb: create
celery-worker  | DEBUG 2025-07-16 16:01:22,336 sync_plan_executor Pack bsf_pk_8c38fc59572b8fed has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,336 sync_plan_executor Created new pack bsf_pk_8c38fc59572b8fed: create
celery-worker  | DEBUG 2025-07-16 16:01:22,337 sync_plan_executor Pack bsf_pk_ca528ef3bfc486da has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,337 sync_plan_executor Created new pack bsf_pk_ca528ef3bfc486da: create
celery-worker  | DEBUG 2025-07-16 16:01:22,338 sync_plan_executor Pack bsf_pk_6ca23856421447dc has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,338 sync_plan_executor Created new pack bsf_pk_6ca23856421447dc: create
celery-worker  | DEBUG 2025-07-16 16:01:22,339 sync_plan_executor Pack bsf_pk_fbd1f4f58a88b5fc has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,339 sync_plan_executor Created new pack bsf_pk_fbd1f4f58a88b5fc: create
celery-worker  | DEBUG 2025-07-16 16:01:22,340 sync_plan_executor Pack bsf_pk_4dab3df86aacd251 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_LOGE', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,340 sync_plan_executor Created new pack bsf_pk_4dab3df86aacd251: create
celery-worker  | DEBUG 2025-07-16 16:01:22,341 sync_plan_executor Pack bsf_pk_11ba1625fdda367e has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ACCESS', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,341 sync_plan_executor Created new pack bsf_pk_11ba1625fdda367e: create
